	WT1	WT2	WT3	WT4	cyp21_MUT1	cyp21_MUT2	cyp21_MUT3	cyp21_MUT+HC1	cyp21_MUT+HC2	cyp21_MUT+HC3	WT+HC1	WT+HC2	WT+HC3
ENSDARG00000102141	71	83	104	88	82	91	73	135	131	109	119	161	122
ENSDARG00000102123	36	59	47	66	56	66	84	90	78	62	80	71	93
ENSDARG00000114503	148	180	192	175	211	178	234	267	284	219	297	264	293
ENSDARG00000115971	4	7	3	4	1	2	15	7	9	10	6	7	9
ENSDARG00000098311	73	104	86	91	100	78	94	136	106	92	128	167	167
ENSDARG00000104839	68	114	120	93	138	94	134	168	141	69	109	128	119
ENSDARG00000100143	55	87	64	78	105	56	87	145	97	72	126	134	119
ENSDARG00000102474	202	208	166	199	172	151	183	312	309	252	367	435	376
ENSDARG00000104049	335	365	397	418	434	355	526	510	496	355	466	536	517
ENSDARG00000102226	87	112	128	119	144	101	165	134	146	87	112	130	146
ENSDARG00000103095	393	411	426	390	462	372	435	613	634	472	611	716	637
ENSDARG00000102128	114	120	97	119	105	103	135	156	145	98	139	154	160
ENSDARG00000110470	196	215	259	178	299	237	397	357	342	218	303	243	306
ENSDARG00000100422	124	145	164	169	228	169	293	376	349	193	252	230	265
ENSDARG00000104632	25	51	47	51	58	48	54	54	38	52	43	54	60
ENSDARG00000100660	36	22	32	32	43	34	31	39	42	44	62	44	28
ENSDARG00000113107	1	0	0	0	0	1	0	4	0	3	2	2	0
ENSDARG00000099787	10	2	8	4	6	7	10	17	9	11	15	9	11
ENSDARG00000112451	3	2	2	4	3	1	2	3	2	1	2	1	3
ENSDARG00000070546	5	0	1	7	7	5	4	2	6	1	2	2	0
ENSDARG00000045914	1251	1251	1514	1465	1739	1739	2241	2131	2132	1606	1903	1709	1910
ENSDARG00000045913	381	370	399	405	444	414	376	414	428	452	524	573	498
ENSDARG00000045911	105	159	156	137	179	110	237	336	270	145	213	188	227
ENSDARG00000045910	459	442	498	501	534	530	517	523	558	466	594	518	597
ENSDARG00000045909	47	52	46	50	64	36	57	27	46	28	61	74	66
ENSDARG00000025073	17129	17058	16432	17657	21116	19062	20906	19112	20539	19926	20914	23467	21023
ENSDARG00000084828	0	0	0	0	1	2	0	0	0	0	2	0	1
ENSDARG00000095951	0	0	1	0	0	0	0	0	2	0	1	0	0
ENSDARG00000093924	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000108269	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	5	0	5	13	6	8	14	5	13	4	10	11	9
ENSDARG00000099652	166	151	178	151	262	200	258	443	423	282	373	386	360
ENSDARG00000101047	132	142	166	156	154	161	242	313	292	262	279	330	280
ENSDARG00000102104	0	0	0	1	1	2	2	0	0	0	0	0	0
ENSDARG00000099833	239	230	249	306	281	257	275	230	249	230	312	326	306
ENSDARG00000103870	4	2	3	9	17	13	13	13	10	7	11	6	7
ENSDARG00000096118	262	246	239	246	316	331	343	367	315	348	310	387	350
ENSDARG00000045900	190	207	218	221	273	183	279	312	293	185	251	249	286
ENSDARG00000016968	335	331	350	394	424	370	446	643	597	539	593	650	601
ENSDARG00000102878	283	316	346	288	401	280	408	545	525	359	474	472	523
ENSDARG00000059311	2252	2571	3036	2653	3120	2584	4309	3824	3571	2179	3252	2939	3536
ENSDARG00000017386	8	7	16	15	18	10	20	45	19	18	27	35	25
ENSDARG00000045898	405	374	414	439	571	536	520	639	627	584	544	593	550
ENSDARG00000006060	72	104	94	101	118	86	82	122	109	74	94	139	106
ENSDARG00000113105	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103050	2	3	4	0	1	0	2	0	2	3	3	2	3
ENSDARG00000070535	2	0	0	0	3	1	1	3	0	1	3	1	0
ENSDARG00000013789	1	1	2	3	0	2	2	3	4	4	1	1	1
ENSDARG00000063686	125	90	113	129	129	110	121	206	187	198	207	223	176
ENSDARG00000087962	99	139	130	144	181	156	166	223	190	189	269	295	243
ENSDARG00000099313	244	226	246	301	527	492	406	483	641	582	394	506	354
ENSDARG00000103102	12	18	18	17	14	7	20	6	16	17	18	28	10
ENSDARG00000104018	868	857	936	1042	1166	1113	1262	1350	1330	1119	1181	1300	1275
ENSDARG00000102157	0	0	1	0	0	0	2	2	0	2	1	0	0
ENSDARG00000098612	3	6	3	1	12	3	3	17	13	4	6	5	6
ENSDARG00000100898	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	631	797	918	802	1048	896	1272	1858	1525	969	1225	1005	1217
ENSDARG00000111388	87	100	90	114	108	80	93	126	150	99	109	160	116
